startcong,district,statename,pop_density
105,14,New York,167617930.43696517
105,13,New York,30388298.19097008
105,4,New York,25649219.092061833
105,8,New York,97833193.97050221
105,10,New York,131075355.05363159
105,19,New York,1962344.9337059972
105,21,New York,1989590.273939059
105,22,New York,326138.6509532048
105,18,New York,22578793.047192927
105,20,New York,1668952.8509994
105,27,New York,600733.6935074589
105,29,New York,1823829.8826480862
105,23,New York,362652.29601604893
105,24,New York,164881.98658116686
105,25,New York,1171878.7035626331
105,26,New York,705793.4445594786
105,30,New York,3030606.478005122
105,31,New York,326715.3543115432
58,10,Missouri,1205002.1862950346
58,12,Missouri,102019615.9699472
58,13,Missouri,105658.09765263641
58,14,Missouri,68364.28418365087
58,15,Missouri,151862.88442366789
58,16,Missouri,87436.48048905066
58,1,Missouri,132145.17694291018
58,2,Missouri,139686.97484752265
58,3,Missouri,142386.16567636194
58,4,Missouri,213710.40807003767
58,5,Missouri,1116434.618756866
58,6,Missouri,144083.6197509452
58,7,Missouri,137531.04879832861
58,8,Missouri,150136.68153038007
58,9,Missouri,108006.01251026274
58,11,Missouri,76378359.9951605
59,10,Missouri,1252675.0329847008
59,12,Missouri,106055762.59838419
59,13,Missouri,109838.1915547089
59,14,Missouri,71068.94320917233
59,15,Missouri,157870.95319675424
59,16,Missouri,90895.68245303608
59,1,Missouri,137373.16476967724
59,2,Missouri,145213.3347265235
59,3,Missouri,148019.31217536473
59,4,Missouri,222165.31681276287
59,5,Missouri,1160603.5149002632
59,6,Missouri,149783.92170309214
59,7,Missouri,142972.11494659068
59,8,Missouri,156076.45747643017
59,9,Missouri,112278.99569197393
59,11,Missouri,79400075.54710715
60,10,Missouri,1300288.1018101792
60,12,Missouri,110086848.22791405
60,13,Missouri,114013.04395972552
60,14,Missouri,73770.21081271821
60,15,Missouri,163871.48834128503
60,16,Missouri,94350.54685969987
60,1,Missouri,142594.59712581517
60,2,Missouri,150732.7650006604
60,3,Missouri,153645.39516778573
60,4,Missouri,230609.62378903953
60,5,Missouri,1204717.0268478694
60,6,Missouri,155477.07594119257
60,7,Missouri,148406.35844137534
60,8,Missouri,162008.7854275636
60,9,Missouri,116546.6209010435
60,11,Missouri,82418002.11403568
61,10,Missouri,1352324.7325855454
61,12,Missouri,114492447.77657162
61,13,Missouri,118575.76714687802
61,14,Missouri,76722.4436424567
61,15,Missouri,170429.51199892978
61,16,Missouri,98126.39050816295
61,1,Missouri,148301.13430851203
61,2,Missouri,156764.9860347297
61,3,Missouri,159794.17764726153
61,4,Missouri,239838.46148250953
61,5,Missouri,1252928.9692840164
61,6,Missouri,161699.16101873983
61,7,Missouri,154345.4782934909
61,8,Missouri,168492.26500253115
61,9,Missouri,121210.73608559473
